V Mag. (mV)	Proper name	Bayer designation	Distance (ly)  	Spectral class	Mass (M☉)	Radius (R☉)    Luminosity (Lo)    Star	    Constellation   Right

−26.74	Sun	 	0.000015813	G2	1	1	1

−1.46	Sirius	α CMa	8.6	A1	2.1	1.71´	25.4

−0.74	Canopus	α Car	310	A9	15	71	13 500

−0.27	Alpha Centauri	α Cen	4.4	G2	1.1	1.2	2

−0.05	Arcturus	α Boo	37	K2	1.1	26	170

0.03	Vega	α Lyr	25	A0	2.2	2.7	50

0.08	Capella	α Aur	43	G8	2.6	12	150

0.13	Rigel	β Ori	860	B8	23	78.9	120 000

0.34	Procyon	α CMi	11.4	F5	1.5	1.9	7.7

0.45	Betelgeuse	α Ori	640[1]	M2	20	950	60 000

0.46	Achernar	α Eri	144	B3	6.7	9.3	3 000

0.61	Hadar	β Cen	390	B1	10.5	8.6	42 000

0.76	Altair	α Aql	17	A7	1.8	1.8	10.5

0.76	Acrux	α Cru	320	B0.5	18	8.9	25 000

0.86	Aldebaran	α Tau	65	K5	1.5	44	520

0.96	Antares	α Sco	600	M1.5	12	680	75 000

0.97	Spica	α Vir	260	B1	11.43	7.47	20 512

1.14	Pollux	β Gem	34	K0	1.9	8.8	43

1.16	Fomalhaut	α PsA	25	A3	1.9	1.8	16.6

1.25	Deneb	α Cyg	2 600	A2	19	203	200 000

1.25	Mimosa	β Cru	350	B0.5	16	8.4	34 000

1.39	Regulus	α Leo	77	B7	3.8	3.1	290

1.50	Adhara	ε CMa	430	B2	12.5	14	39 000

1.62	Shaula	λ Sco	700	B2	14.5	8.8	36 000

1.62	Castor	α Gem	52	A1	2.8	2.4	30

1.64	Gacrux	γ Cru	88	M3.5	1.5	84	820

1.64	Bellatrix	γ Ori	240	B2	8.6	5.8	9 200

1.65	Elnath	β Tau	130	B7	5.0	4.2	700

1.69	Miaplacidus	β Car	110	A1	3.5	6.8	290

1.69	Alnilam	ε Ori	2 000	B0	32	42	380 000

1.72	Gamma Velorum	γ1 2 Vel	1 100	WC8	9.0	6	170 000

1.74	Alnair	α Gru	101	B7	4.0	3.4	260

1.77	Alioth	ε UMa	81	A1	2.9	4.2	110

1.77	Alnitak	ζ Ori	1050	O9.7	33	20	120 000

1.79	Dubhe	α UMa	120	G9	4.25	30	300

1.80	Mirfak	α Per	590	F5	8.5	68	5 000

1.82	Wezen	δ CMa	1 600	F8	17	200	82 000

1.84	Sargas	θ Sco	270	F0	5.7	26	1 800

1.85	Kaus Australis	ε Sgr	140	B9.5	3.5	6.8	360

1.86	Avior	ε Car	630	K3	9.0	130	60 000

1.86	Alkaid	η UMa	104	B3	6.1	3.4	1 350

1.90	Menkalinan	β Aur	81	A1	2.39	2.77	50

1.91	Atria	α TrA	390	K2	7	92	5 500

1.92	Alhena	γ Gem	109	A1.5	2.8	3.3	120

1.94	Peacock	α Pav	180	B3	5.9	4.8	2 200

1.96	Alsephina[2]	δ Vel	80	A1	2.4	2.9	90

1.98	Mirzam	β CMa	500	B1	13.5	10	27 000

1.98	Polaris	α UMi	430	F8	5.4	39	2 500

2.00	Alphard	α Hya	180	K3	3.0	50	780

2.23	Mintaka	δ Ori	1200	O9.5	24	16.5	190 000

